"","y_pred"
"1",2910.26971455555
"2",2791.73310265646
"3",1967.77941471429
"4",1853.59459904762
"5",1801.02465127381
"6",1684.87641182143
"7",1898.00802226191
"8",8904.05988761906
"9",2092.25864933333
"10",1497.38189985714
"11",2332.71929561905
"12",2303.14174942857
"13",6209.04564165715
"14",3139.16089661905
"15",2343.01731695238
"16",1890.64826804762
"17",1846.68391802381
"18",1804.16327954762
"19",4279.44783452381
"20",8477.70693299999
"21",7302.81822447618
"22",2715.195243
"23",1509.30996433333
"24",2189.98635447619
"25",2001.74569728572
"26",1749.18022828571
"27",1633.80184476191
"28",1515.34281870238
"29",1466.04655688889
"30",5261.74917144002
"31",1667.36309169047
"32",1555.11546895238
"33",8099.59553666666
"34",2827.99696190476
"35",7949.0141017619
"36",5609.9311422
"37",1804.99742322619
"38",1562.07359357143
"39",1278.55482147619
"40",1423.6838487619
"41",1947.07432478571
"42",2568.80649719048
"43",1413.45426714286
"44",3571.91190233333
"45",1350.20757752381
"46",1633.53295644048
"47",1896.30313561905
"48",4271.5220752381
"49",1300.38094847619
"50",1303.61353604762
"51",2379.69414961905
"52",4719.12451689286
"53",1481.73448685714
"54",1396.32026628571
"55",1236.71886080953
"56",7133.30184380952
"57",1250.26587647619
"58",1462.47369942857
"59",1285.84498671428
"60",1567.33458825
"61",10576.7218060953
"62",8498.15982833333
"63",1631.14278053571
"64",2172.38325357143
"65",4525.02671247619
"66",4293.40710983572
"67",3885.26731692857
"68",2311.312383
"69",1505.49910161905
"70",1463.75583319048
"71",1851.2868432619
"72",4197.80918546428
"73",4619.30758756349
"74",3128.98388826191
"75",1518.97756390476
"76",1351.15646895238
"77",1300.01596966666
"78",1340.39181973016
"79",2547.58086169388
"80",2490.06851961905
"81",2023.53194723809
"82",2958.04880642857
"83",1660.27047885714
"84",1700.37751980952
"85",1234.12429080952
"86",3498.11020469048
"87",1713.17536498809
"88",1891.93708335714
"89",1272.80656247619
"90",1274.22877614286
"91",1371.35923584127
"92",1478.84815611905
"93",5714.40639043265
"94",4618.41323640873
"95",1647.41628125
"96",1658.11417509524
"97",1189.60971966667
"98",1612.86526652381
"99",2677.86439280952
"100",3224.43740065079
"101",4305.10388316667
"102",4721.0426770127
"103",1243.83152561905
"104",1273.92743657143
"105",3110.50150071429
"106",1457.85882138095
"107",1376.39934565079
"108",1490.4184849881
"109",2441.78124557143
"110",2070.79099614286
"111",3935.16254843878
"112",3306.43763835714
"113",917.706781238096
"114",2760.98110823809
"115",2172.03254904762
"116",1111.85713038095
"117",1305.90048233333
"118",1803.38982904365
"119",4254.06691635714
"120",3202.87244302381
"121",2635.8430445873
"122",3173.98916750793
"123",1085.64279933333
"124",1256.09141480952
"125",1370.24671112699
"126",5536.26278719524
"127",5846.14995369206
"128",3258.86177661904
"129",1642.91372748809
"130",1475.51426577381
"131",1437.91769185714
"132",1348.19450080952
"133",1598.358143
"134",3473.20646871429
"135",2066.68224504762
"136",1311.35833542857
"137",1235.28965695238
"138",1241.05024366667
"139",1370.01820255555
"140",1335.09091746032
"141",2078.89381409524
"142",2460.90841161905
"143",4904.69200288571
"144",6325.36954462857
"145",2118.463229
"146",1698.24010248809
"147",1436.48034585714
"148",1423.40959625397
"149",1395.89723809524
"150",7345.99899719047
"151",1318.6448072381
"152",1213.59057461905
"153",2399.18771131293
"154",4056.38553819048
"155",4188.96611671429
"156",5504.5602883873
"157",2795.85369707143
"158",1737.86444853571
"159",1678.44268740476
"160",1443.82647709524
"161",1670.04748292857
"162",1546.28664609524
"163",1226.84246419048
"164",1141.17890295238
"165",1332.78591033333
"166",2919.37010861904
"167",1557.01191280953
"168",1351.13839642857
"169",1335.49568519048
"170",1850.964374
"171",2085.30766071428
"172",1491.93628469048
"173",1379.74904849206
"174",1424.54551923809
"175",1289.49570823809
"176",1702.45448285714
"177",1366.046654
"178",1031.36271147619
"179",1047.3269422381
"180",1053.50281319048
"181",1160.07131738095
"182",1981.67676866667
"183",1156.37684680952
"184",1021.99998704762
"185",1295.97712719048
"186",1584.6035832381
"187",1817.74744071429
"188",1379.18866219047
"189",1239.63482814286
"190",1372.31828609524
"191",1661.20585295238
